formula_norm,source,n,med,lo,hi,sd,range
Ba2InOsO6,JARVIS,1,0.309,0.309,0.309,,0.0
Ba2InOsO6,MP,1,0.42240000000000005,0.42240000000000005,0.42240000000000005,,0.0
Ba2InOsO6,OQMD,9,0.605,0.597,0.807,0.06756293362488051,0.21000000000000008
Ba2InRuO6,AFLOW,1,1.3061,1.3061,1.3061,,0.0
Ba2InRuO6,MP,1,0.3628,0.3628,0.3628,,0.0
Ba2InRuO6,OQMD,11,0.503,0.381,0.629,0.06617978268598071,0.248
Ba2InSbO6,MP,1,0.523999999999999,0.523999999999999,0.523999999999999,,0.0
Ba2InSbO6,OQMD,11,1.0,0.867,2.329,0.5051993305976996,1.4620000000000002
Ba2InTeO6,OQMD,1,0.865,0.865,0.865,,0.0
Ba2IrBrO6,OQMD,1,0.367,0.367,0.367,,0.0
Ba2LaCrO6,MP,1,0.47829999999999906,0.47829999999999906,0.47829999999999906,,0.0
Ba2LaCrO6,OQMD,1,0.6560000000000001,0.6560000000000001,0.6560000000000001,,0.0
Ba2LaIrO6,AFLOW,2,0.34040000000000004,0.3285,0.3523,0.016829141392239844,0.023799999999999988
Ba2LaMn2O7,MP,1,0.9398000000000001,0.9398000000000001,0.9398000000000001,,0.0
Ba2LaNbO6,JARVIS,1,3.119,3.119,3.119,,0.0
Ba2LaNbO6,MP,3,2.9716,2.9563,3.0639,0.05821102415636845,0.1075999999999997
Ba2LaNbO6,OQMD,8,3.1870000000000003,3.15,3.322,0.0528096311562308,0.17200000000000015
Ba2LaRuO6,AFLOW,4,1.03265,0.7918,1.2998,0.2836669217586006,0.5080000000000001
Ba2LaRuO6,JARVIS,1,0.203,0.203,0.203,,0.0
Ba2LaRuO6,MP,2,0.23164999999999952,0.21960000000000002,0.24369999999999903,0.017041273426595095,0.02409999999999901
Ba2LaRuO6,OQMD,8,0.4005000000000001,0.266,0.40200000000000014,0.04764882699800398,0.13600000000000012
Ba2LaSbO6,AFLOW,1,3.7406,3.7406,3.7406,,0.0
Ba2LaSbO6,JARVIS,1,3.944,3.944,3.944,,0.0
Ba2LaSbO6,MP,4,3.880749999999999,3.8497,3.8961,0.01948082390454775,0.04640000000000022
Ba2LaSbO6,OQMD,7,4.229000000000001,4.223000000000001,4.368,0.06872339311984467,0.14499999999999957
Ba2LaTaO6,AFLOW,2,3.2672499999999998,2.8554,3.6791,0.5824438556633591,0.8237000000000001
Ba2LaTaO6,JARVIS,1,3.711,3.711,3.711,,0.0
Ba2LaTaO6,MP,3,3.624799999999999,3.621299999999999,3.631499999999999,0.0051829849829354326,0.010200000000000209
Ba2LaTaO6,OQMD,6,3.8,3.668,3.884,0.0963071475367571,0.21599999999999975
Ba2LaVO6,MP,2,1.7171,1.714,1.7202000000000002,0.004384062043356739,0.006200000000000205
Ba2LaVO6,OQMD,6,1.9365,1.879,2.029,0.06729933134883277,0.1499999999999999
Ba2LaWO6,MP,1,1.9219,1.9219,1.9219,,0.0
Ba2LiReO6,AFLOW,2,1.91115,1.9062,1.9161,0.007000357133746834,0.00990000000000002
Ba2LiReO6,JARVIS,1,1.878,1.878,1.878,,0.0
Ba2LiReO6,MP,1,1.8198,1.8198,1.8198,,0.0
Ba2LiReO6,OQMD,13,2.067,1.902,2.104,0.09110560229333195,0.20200000000000018
Ba2LuNbO6,AFLOW,1,3.0881,3.0881,3.0881,,0.0
Ba2LuNbO6,JARVIS,1,2.909,2.909,2.909,,0.0
Ba2LuNbO6,MP,1,2.847899999999999,2.847899999999999,2.847899999999999,,0.0
Ba2LuNbO6,OQMD,6,3.0980000000000003,1.968,3.13,0.457565150188109,1.162
Ba2LuRuO6,AFLOW,1,1.0539,1.0539,1.0539,,0.0
Ba2LuRuO6,JARVIS,1,0.059,0.059,0.059,,0.0
Ba2LuRuO6,MP,1,0.055600000000000004,0.055600000000000004,0.055600000000000004,,0.0
