band_gap,src
4.397,MP
0.7979999999999996,OQMD
2.07,OQMD
2.094,OQMD
2.0039999999999996,OQMD
2.6839999999999997,OQMD
2.215,OQMD
1.6650000000000005,OQMD
1.0059999999999998,OQMD
2.422,OQMD
1.4479999999999995,OQMD
0.391,OQMD
2.446,OQMD
0.402,OQMD
0.5770000000000004,OQMD
1.3630000000000004,OQMD
1.3869999999999996,OQMD
0.6219999999999999,OQMD
1.002,OQMD
0.399999999999999,OQMD
0.21300000000000008,OQMD
1.6899999999999995,OQMD
1.8970000000000002,OQMD
2.412,JARVIS
2.472,OQMD
1.999,OQMD
4.37,OQMD
3.038,OQMD
1.6059999999999999,OQMD
0.49640000000000006,MP
0.8140000000000001,OQMD
1.8190000000000004,OQMD
0.6149999999999998,OQMD
3.943,OQMD
0.5720000000000001,OQMD
1.9569999999999999,OQMD
3.522,OQMD
0.748,OQMD
1.0139999999999998,OQMD
1.3720000000000003,OQMD
2.391,OQMD
0.4889999999999999,OQMD
1.903,OQMD
2.146,OQMD
1.649,OQMD
1.5359999999999996,OQMD
3.207,OQMD
0.7719999999999994,OQMD
3.0120000000000005,OQMD
2.2980000000000005,OQMD
2.394,OQMD
1.8199999999999998,OQMD
1.225,OQMD
0.44430000000000003,MP
0.731,OQMD
0.508,OQMD
1.375,OQMD
1.6070000000000002,OQMD
0.748,OQMD
0.5039999999999996,OQMD
2.0829999999999997,OQMD
1.1790000000000003,OQMD
0.3720000000000008,OQMD
2.6853,MP
1.4380000000000002,OQMD
0.9280000000000004,OQMD
3.9148,MP
4.226999999999999,OQMD
0.8360000000000003,OQMD
1.9619999999999997,OQMD
0.124,JARVIS
0.6099999999999999,OQMD
0.4710000000000001,OQMD
3.657,OQMD
3.4848,MP
1.2479999999999998,OQMD
3.057,OQMD
3.42,OQMD
0.7000000000000002,OQMD
2.434299999999999,MP
2.077,OQMD
2.288,OQMD
1.505,OQMD
3.0602,MP
1.019,OQMD
1.6019999999999994,OQMD
0.6150000000000002,OQMD
1.2650000000000001,OQMD
1.665,OQMD
4.361,OQMD
1.5070000000000006,OQMD
1.936,OQMD
0.944,OQMD
3.0669999999999993,OQMD
2.6464,MP
2.561,OQMD
1.2509999999999994,OQMD
1.7977999999999992,MP
1.7531999999999992,MP
1.0740000000000003,OQMD
0.835,OQMD
1.2200000000000002,OQMD
1.1440000000000001,OQMD
2.9360000000000004,OQMD
1.28,OQMD
2.0890000000000004,OQMD
2.84,OQMD
2.806,OQMD
3.847,OQMD
2.5500000000000003,OQMD
2.4200000000000004,OQMD
1.408,OQMD
2.5470000000000006,OQMD
4.7024,MP
1.254,OQMD
3.826,OQMD
2.4339999999999997,OQMD
2.9140000000000006,OQMD
0.5420000000000007,OQMD
2.142,OQMD
2.857,OQMD
1.9520000000000004,OQMD
1.9110000000000005,OQMD
0.388,OQMD
2.6699,MP
3.069,JARVIS
0.6339999999999999,OQMD
3.702,OQMD
1.521,OQMD
1.423,OQMD
2.3839999999999995,OQMD
0.8350000000000004,OQMD
2.3930000000000002,OQMD
1.6350000000000002,OQMD
0.32399999999999984,OQMD
0.318,OQMD
1.7919999999999998,OQMD
2.133,OQMD
1.9,OQMD
2.749,OQMD
3.1999999999999993,OQMD
1.6440000000000001,OQMD
2.064,OQMD
2.9629000000000003,MP
0.373,OQMD
1.1849999999999996,OQMD
1.6369999999999996,OQMD
1.2060000000000004,OQMD
1.3120000000000003,OQMD
1.5590000000000002,OQMD
0.4170000000000007,OQMD
1.8650000000000002,OQMD
1.7149999999999999,OQMD
2.208,OQMD
1.254,OQMD
